vendor_security_id,synthetic_cusip,issuer_name,instrument_name,instrument_type,rating,rating_agency,source_system
VEND-BOND-0001,SYN-CUSIP-0001,SYN-ISSUER-002,SYN-ISSUER-002 BOND 0001,BOND,BB,SYN-SP,LEGACY
VEND-BOND-0002,SYN-CUSIP-0002,SYN-ISSUER-003,SYN-ISSUER-003 BOND 0002,BOND,AA,SYN-FITCH,LEGACY
VEND-BOND-0003,SYN-CUSIP-0003,SYN-ISSUER-004,SYN-ISSUER-004 BOND 0003,BOND,AA,SYN-SP,LEGACY
VEND-BOND-0004,SYN-CUSIP-0004,SYN-ISSUER-005,SYN-ISSUER-005 BOND 0004,BOND,CCC,SYN-SP,LEGACY
VEND-BOND-0005,SYN-CUSIP-0005,SYN-ISSUER-006,SYN-ISSUER-006 BOND 0005,BOND,A,SYN-FITCH,LEGACY
VEND-BOND-0006,SYN-CUSIP-0006,SYN-ISSUER-007,SYN-ISSUER-007 BOND 0006,BOND,A,SYN-SP,LEGACY
VEND-BOND-0007,SYN-CUSIP-0007,SYN-ISSUER-008,SYN-ISSUER-008 BOND 0007,BOND,CCC,SYN-SP,LEGACY
VEND-BOND-0008,SYN-CUSIP-0008,SYN-ISSUER-009,SYN-ISSUER-009 BOND 0008,BOND,AAA,SYN-FITCH,LEGACY
VEND-BOND-0009,SYN-CUSIP-0009,SYN-ISSUER-010,SYN-ISSUER-010 BOND 0009,BOND,AA,SYN-FITCH,LEGACY
VEND-BOND-0010,SYN-CUSIP-0010,SYN-ISSUER-011,SYN-ISSUER-011 BOND 0010,BOND,AA,SYN-SP,LEGACY
VEND-LOAN-0011,SYN-CUSIP-0011,SYN-ISSUER-012,SYN-ISSUER-012 LOAN 0011,LOAN,AA,SYN-SP,LEGACY
VEND-LOAN-0012,SYN-CUSIP-0012,SYN-ISSUER-013,SYN-ISSUER-013 LOAN 0012,LOAN,D,SYN-FITCH,LEGACY
VEND-LOAN-0013,SYN-CUSIP-0013,SYN-ISSUER-014,SYN-ISSUER-014 LOAN 0013,LOAN,B,SYN-SP,LEGACY
VEND-LOAN-0014,SYN-CUSIP-0014,SYN-ISSUER-015,SYN-ISSUER-015 LOAN 0014,LOAN,A,SYN-FITCH,LEGACY
VEND-LOAN-0015,SYN-CUSIP-0015,SYN-ISSUER-016,SYN-ISSUER-016 LOAN 0015,LOAN,D,SYN-MOODY,LEGACY
VEND-LOAN-0016,SYN-CUSIP-0016,SYN-ISSUER-017,SYN-ISSUER-017 LOAN 0016,LOAN,AAA,SYN-SP,LEGACY
VEND-LOAN-0017,SYN-CUSIP-0017,SYN-ISSUER-018,SYN-ISSUER-018 LOAN 0017,LOAN,BB,SYN-SP,LEGACY
VEND-LOAN-0018,SYN-CUSIP-0018,SYN-ISSUER-019,SYN-ISSUER-019 LOAN 0018,LOAN,D,SYN-MOODY,LEGACY
VEND-CLO-0019,SYN-CUSIP-0019,SYN-ISSUER-020,SYN-ISSUER-020 CLO 0019,CLO,BB,SYN-SP,LEGACY
VEND-CLO-0020,SYN-CUSIP-0020,SYN-ISSUER-021,SYN-ISSUER-021 CLO 0020,CLO,CCC,SYN-FITCH,LEGACY
VEND-CLO-0021,SYN-CUSIP-0021,SYN-ISSUER-022,SYN-ISSUER-022 CLO 0021,CLO,BBB,SYN-SP,LEGACY
VEND-CLO-0022,SYN-CUSIP-0022,SYN-ISSUER-023,SYN-ISSUER-023 CLO 0022,CLO,AAA,SYN-SP,LEGACY
VEND-CLO-0023,SYN-CUSIP-0023,SYN-ISSUER-024,SYN-ISSUER-024 CLO 0023,CLO,CCC,SYN-FITCH,LEGACY
VEND-ABS-0024,SYN-CUSIP-0024,SYN-ISSUER-025,SYN-ISSUER-025 ABS 0024,ABS,CCC,SYN-FITCH,LEGACY
VEND-ABS-0025,SYN-CUSIP-0025,SYN-ISSUER-026,SYN-ISSUER-026 ABS 0025,ABS,AAA,SYN-FITCH,LEGACY
VEND-ABS-0026,SYN-CUSIP-0026,SYN-ISSUER-027,SYN-ISSUER-027 ABS 0026,ABS,B,SYN-SP,LEGACY
VEND-ABS-0027,SYN-CUSIP-0027,SYN-ISSUER-028,SYN-ISSUER-028 ABS 0027,ABS,A,SYN-MOODY,LEGACY
VEND-PRIVATE-0028,SYN-CUSIP-0028,SYN-ISSUER-029,SYN-ISSUER-029 PRIVATE 0028,PRIVATE,AA,SYN-FITCH,LEGACY
VEND-PRIVATE-0029,SYN-CUSIP-0029,SYN-ISSUER-030,SYN-ISSUER-030 PRIVATE 0029,PRIVATE,B,SYN-SP,LEGACY
VEND-PRIVATE-0030,SYN-CUSIP-0030,SYN-ISSUER-031,SYN-ISSUER-031 PRIVATE 0030,PRIVATE,D,SYN-SP,LEGACY
LEGACY-UNMATCHED-0001,SYN-CUSIP-9999,SYN-ISSUER-999,LEGACY ORPHAN,BOND,BB,SYN-SP,LEGACY
